timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse,reg_ti_corr_acc,reg_ti_corr_n,reg_ti_corr,reg_ti
2025-11-27 11:26:20.057183,1,Allalin,train,1.9828672,38.49488,30,1.2831627,211.69252,190.9511,1.1086216,3.9682727,27,0.14697306,0.028685603,4.03447,0.0071101296,24.326206,27,0.9009706,1.1588835,4.0,0.28972086,10.320672,30,0.34402242,0.00028160497
2025-11-27 11:28:30.503493,1,Austre Broeggerbreen,train,0.36176232,12.795515,12,1.066293,0,0,,0.11390381,9,0.012655979,0,0,,9.865628,9,1.0961809,0,0,,2.1595156,15,0.14396772,0.00028160497
2025-11-27 11:30:53.148005,1,Tsanfleuron,train,2.5750668,8.447542,15,0.5631695,37.498775,64.460754,0.5817303,10.476719,15,0.69844794,13.3028755,39.03868,0.3407614,21.638363,15,1.4425576,22.485754,19.0,1.1834607,5.9524593,30,0.19841532,0.00028160497
2025-11-27 11:35:25.016689,1,Claridenfirn,train,1.1588645,17.416847,30,0.5805616,20.933992,60.92034,0.34362894,3.0378022,30,0.10126008,18.079731,66.71619,0.27099466,25.176994,30,0.83923316,4.3884144,37.20673,0.11794679,8.21721,30,0.273907,0.00028160497
2025-11-27 11:36:21.670026,1,Austre Lovenbreen,train,0.53161085,4.6691675,17,0.27465692,164.3466,555.0856,0.29607433,0.6833618,17,0.040197756,0,0,,7.1571283,17,0.42100754,0,0,,4.8500614,30,0.16166872,0.00028160497
2025-11-27 11:38:20.542915,1,Vernagt F,train,1.5016785,9.220337,30,0.3073446,304.52783,285.5903,1.06631,0.8472317,29,0.029214885,8.6572,239.0,0.036222592,10.939367,29,0.37721956,0,0,,9.824591,30,0.32748637,0.00028160497
2025-11-27 11:42:25.391934,1,Langfjordjoekelen,train,1.8431324,9.999471,28,0.35712397,58.215427,124.0,0.46947923,23.424551,27,0.86757594,64.80251,110.95238,0.58405703,7.213146,27,0.26715356,28.984062,112.95238,0.25660425,11.505746,30,0.3835249,0.00028160497
2025-11-27 11:45:44.260106,1,Hohlaub,train,2.292501,27.470898,30,0.9156966,38.437332,27.000008,1.4236045,2.7355833,30,0.09118611,12.184043,42.0,0.29009625,26.969053,30,0.8989685,0,0,,11.638006,30,0.38793355,0.00028160497
2025-11-27 11:48:25.464257,1,Gebroulaz,train,0.63853693,5.1697564,29,0.17826746,198.90825,416.361,0.47773027,0,0,,0,0,,0,0,,0,0,,4.138252,29,0.14269833,0.00028160497
2025-11-27 11:50:32.903180,1,Midtre Lovenbreen,train,0.21172944,2.281433,12,0.19011943,0,0,,0.2236542,12,0.01863785,0,0,,3.205446,12,0.2671205,0,0,,2.4579008,15,0.16386005,0.00028160497
