timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse,reg_ti
2025-11-15 18:59:34.275805,1,Vernagt F,train,3.3046632,19.199749,30,0.63999164,734.5314,285.5903,2.5719757,0.56703174,29,0.01955282,7.698965,239.0,0.03221324,21.500717,29,0.74140406,0,0,,0.0
2025-11-15 19:00:37.022763,1,Langfjordjoekelen,train,4.233467,43.299988,28,1.5464282,196.24464,124.0,1.582618,35.89442,27,1.329423,101.9736,110.95238,0.9190754,2.21674,27,0.08210148,28.554054,112.95238,0.25279728,0.0
2025-11-15 19:00:49.955795,1,Hohlaub,train,4.5103717,48.141224,30,1.6047076,69.603745,27.000008,2.5779157,2.356393,30,0.07854644,14.589066,42.0,0.3473587,44.60821,30,1.4869405,0,0,,0.0
2025-11-15 19:01:03.899249,1,Gebroulaz,train,0.64161587,7.0338354,29,0.24254605,216.65047,416.361,0.5203428,0,0,,0,0,,0,0,,0,0,,0.0
2025-11-15 19:01:12.377119,1,Midtre Lovenbreen,train,0.354605,3.7327719,12,0.31106433,0,0,,0.17036071,12,0.0141967265,0,0,,4.607387,12,0.38394892,0,0,,0.0
2025-11-15 19:01:46.202773,1,Graafjellsbrea,train,1.9205575,1.7932438,11,0.16302216,37.922928,42.0,0.90292686,1.1162778,10,0.11162778,9.44046,40.731003,0.23177579,2.7059789,10,0.2705979,20.904408,40.731003,0.51323086,0.0
2025-11-15 19:02:58.510254,1,Storbreen,train,0.8903175,29.03132,30,0.96771073,0,0,,13.607943,29,0.46923938,0,0,,9.966863,29,0.3436849,0,0,,0.0
2025-11-15 19:03:26.532075,1,Svenbreen,train,2.3697596,7.432541,8,0.9290676,199.57957,180.0,1.1087755,0,0,,0.5233275,28.0,0.01869027,0,0,,21.777279,28.0,0.77775997,0.0
2025-11-15 19:04:21.391056,1,Silvretta,train,0.86945397,4.279606,30,0.14265354,79.628914,262.07605,0.30383897,7.4981093,29,0.2585555,46.790146,205.30887,0.22790125,7.9523344,29,0.27421844,0,0,,0.0
2025-11-15 19:04:24.890073,1,Storsteinsfjellbreen,train,1.603338,0.07695323,1,0.07695323,2.047052,6.0562735,0.3380052,0.15266706,1,0.15266706,3.6608646,7.0,0.5229807,0.44639885,1,0.44639885,1.9046296,4.710435,0.40434262,0.0
2025-11-15 19:05:10.268290,1,Adler,train,13.690087,64.764824,19,3.408675,284.91806,50.59452,5.6314015,2.2751203,16,0.14219502,4.759877,32.53198,0.1463138,39.13878,16,2.4461737,103.19085,21.0,4.91385,0.0
2025-11-15 19:05:21.327472,1,Rabots Glaciaer,train,2.4617968,9.251555,10,0.9251556,72.10293,47.75546,1.5098364,1.1531209,9,0.12812455,24.081696,177.0,0.13605478,5.2067776,9,0.57853085,0,0,,0.0
2025-11-15 19:05:25.156874,1,Svartisheibreen,train,0.29689634,0.5937927,1,0.5937927,0,0,,0,0,,0,0,,0,0,,0,0,,0.0
2025-11-15 19:05:57.127571,1,Breidablikkbrea,train,2.1157088,2.4873922,11,0.22612657,35.733593,57.0,0.62690514,1.4997201,10,0.149972,19.14365,56.804367,0.33701017,5.18973,10,0.51897305,37.18787,52.804367,0.7042575,0.0
2025-11-15 19:07:07.707028,1,Hellstugubreen,train,4.9895406,15.389481,29,0.5306717,29.84474,10.951092,2.7252753,2.2574563,29,0.07784332,0.7025359,11.856805,0.059251707,8.559947,29,0.29517058,17.284706,9.859111,1.7531708,0.0
2025-11-15 19:07:18.231209,1,Storglaciaeren,train,3.235509,14.648675,10,1.4648675,612.7256,444.56955,1.3782446,4.368871,9,0.48543015,548.42957,762.0,0.7197238,2.9230494,9,0.32478327,0,0,,0.0
2025-11-15 19:07:36.391492,1,Aalfotbreen,train,5.5427737,15.832962,30,0.52776545,145.58594,175.781,0.8282234,57.945965,29,1.9981368,308.54297,155.70528,1.9815832,30.454933,29,1.0501701,143.35225,151.70657,0.94493103,0.0
2025-11-15 19:08:00.749748,1,Marmaglaciaeren,train,3.467687,6.4741426,11,0.58855844,51.83484,19.853275,2.610896,1.5514644,10,0.15514645,110.65562,297.77728,0.3716053,2.2666633,10,0.22666633,0,0,,0.0
2025-11-15 19:08:18.600550,1,Hansebreen,train,3.6118183,14.21043,30,0.47368103,53.363876,105.53842,0.5056346,39.70316,29,1.3690745,108.2341,101.76779,1.0635399,24.812105,29,0.8555898,69.972885,100.9024,0.693471,0.0
2025-11-15 19:09:00.169227,1,Saint Sorlin,train,1.5225828,22.661894,30,0.7553965,643.66864,562.21277,1.1448845,0,0,,0,0,,0,0,,0,0,,0.0
2025-11-15 19:09:15.580127,1,Goldberg K,train,4.4771748,35.195885,24,1.4664953,103.7389,32.0,3.2418406,18.532972,21,0.8825225,0,0,,2.3113563,19,0.12165033,0,0,,0.0
2025-11-15 19:09:44.990199,1,Sex Rouge,train,5.7806544,13.589976,13,1.0453829,58.485104,48.0,1.2184397,5.350123,13,0.41154793,5.984017,29.145838,0.20531291,29.893003,13,2.2994618,29.744467,12.0,2.4787056,0.0
2025-11-15 19:09:55.712629,1,Sarenne,train,2.583766,49.678997,29,1.7130688,0,0,,6.9517436,21,0.3310354,0,0,,65.59198,21,3.1234276,0,0,,0.0
2025-11-15 19:10:33.659969,1,Ossoue,train,2.4592862,28.808313,22,1.3094689,0,0,,62.78345,21,2.9896882,0,0,,13.007724,21,0.6194154,0,0,,0.0
