timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse
2025-12-09 13:36:24.093299,1,Ciardoney,train,601.4409,15899.124,30,529.9708,2594.5103,5.0,518.90204,6843.025,29,235.96637,0,0,,1724.1133,29,59.452183,0,0,
2025-12-09 13:36:34.473067,1,Fontana Bianca Weissbrunnf,train,884.0466,11912.107,23,517.9177,68401.79,129.63318,527.6565,2645.7168,15,176.38113,8310.836,47.0,176.8263,1351.706,15,90.11374,4715.6655,46.633186,101.12252
2025-12-09 13:36:43.320162,1,Oe Wurten K,train,597.5629,14343.348,30,478.1116,51037.85,97.0,526.16345,2058.0215,15,137.20145,0,0,,1480.229,15,98.68194,0,0,
2025-12-09 13:36:48.885389,1,Timorion,train,81.54675,2652.4585,5,530.4917,0,0,,1067.2789,5,213.4558,0,0,,357.59988,5,71.51998,0,0,
2025-12-09 13:36:59.175509,1,Lupo,train,653.9523,6904.951,15,460.3301,18882.154,48.0,393.37823,1261.0966,12,105.091385,1408.6115,14.0,100.615105,1552.8264,12,129.4022,1266.6709,14.0,90.476494
2025-12-09 13:37:06.658224,1,Dyngjujokull,val,550.85095,7437.695,23,323.37805,19590.61,58.781544,333.27823,1354.4409,15,90.29607,5746.287,59.354633,96.81278,1150.2361,16,71.889755,4435.142,61.42556,72.20352
2025-12-09 13:37:08.973498,1,Kongsvegen,val,56.33705,4721.701,13,363.2078,0,0,,2046.6667,13,157.43591,0,0,,555.448,13,42.726772,0,0,
2025-12-09 13:37:13.409856,1,Nigardsbreen,val,552.0203,9715.11,30,323.83704,69387.4,208.07549,333.47223,2798.246,29,96.49124,18283.312,195.505,93.51839,1948.251,29,67.18107,14511.494,190.24286,76.278786
2025-12-09 13:37:15.502078,1,Argentiere,val,427.08252,10397.905,30,346.59686,145377.77,370.46207,392.42282,0,0,,0,0,,0,0,,0,0,
2025-12-09 13:37:17.566793,1,Plaine Morte glacier de La,val,606.4713,5523.9917,15,368.26614,25525.564,68.0,375.37595,1221.7128,15,81.447525,14315.375,179.41893,79.78743,1572.0236,15,104.801575,1533.7024,16.0,95.8564
2025-12-09 13:37:21.216590,1,Austdalsbreen,val,565.8455,9804.256,30,326.80853,25099.395,72.92214,344.1944,2635.8362,29,90.8909,7669.1357,80.800255,94.91475,2111.6287,29,72.81478,5682.8364,73.15236,77.68494
2025-12-09 13:37:21.854671,1,Kesselwand F,val,389.15018,10213.779,30,340.45932,63394.938,178.52487,355.10425,0,0,,0,0,,0,0,,0,0,
2025-12-09 13:37:24.940946,1,Gietro,val,463.75455,10787.557,30,359.58524,85799.35,209.85342,408.8537,3408.9883,25,136.35953,0,0,,1326.5879,25,53.063515,0,0,
2025-12-09 13:37:27.660581,1,Malavalle Vedr DI Uebeltalf,val,588.88745,8021.643,23,348.7671,177746.0,504.0,352.67065,2447.099,20,122.35496,21139.205,162.0,130.48892,1185.0099,20,59.250496,8535.881,162.0,52.690624
2025-12-09 13:37:29.912556,1,Ries Occ Vedr DI Rieserf Westl,val,571.5744,5427.5864,16,339.22415,98404.27,287.18103,342.65588,1525.7913,13,117.36856,11354.057,95.38864,119.02944,784.02716,13,60.309784,5587.0854,96.0,58.198807
2025-12-09 13:37:30.202050,1,Kessjen,val,50.986282,339.30386,1,339.30386,0,0,,97.68427,1,97.68427,0,0,,72.87468,1,72.87468,0,0,
2025-12-09 13:37:31.900964,1,Grand Etret,val,545.58545,3119.9458,9,346.66064,7988.85,22.0,363.12955,934.7099,7,133.53,2449.8933,19.0,128.94176,384.6557,7,54.950817,0,0,
2025-12-09 13:37:35.226097,1,Maladeta,val,45.128277,8290.233,28,296.07977,0,0,,2893.6616,27,107.17265,0,0,,1296.8192,27,48.030342,0,0,
2025-12-09 13:38:28.211426,2,Bruarjokull,train,599.98553,9970.671,30,332.3557,85129.94,232.70856,365.8221,1725.0125,19,90.79013,24274.172,242.56241,100.07392,1530.9288,20,76.54644,21051.53,250.25516,84.12027
2025-12-09 13:39:24.406402,2,Langjokull ice cap,train,548.47156,9117.212,27,337.67453,116340.375,353.08533,329.4965,1800.8712,26,69.26428,29652.309,420.39786,70.53392,2656.099,26,102.15766,41748.305,428.04953,97.53148
2025-12-09 13:39:55.045765,2,Tungnaarjokull,train,641.55585,9672.683,28,345.45297,17356.457,44.60918,389.07812,1446.3594,19,76.124176,5786.6455,61.96137,93.39118,1899.2037,20,94.96019,6961.1123,64.79501,107.43284
2025-12-09 13:40:05.963697,2,Nordenskioeldbreen,train,621.9329,4741.5703,13,364.7362,33059.24,90.0,367.3249,1972.5205,13,151.73235,12995.04,86.52905,150.18123,601.6681,13,46.28216,4025.062,83.59117,48.151764
2025-12-09 13:40:25.626037,2,Koldukvislarj,train,590.5385,10161.53,30,338.71768,44486.4,124.05041,358.6155,1982.7643,21,94.41735,12838.721,130.0806,98.6982,1693.6616,22,76.98462,10808.516,131.4699,82.21286
2025-12-09 13:40:45.796864,2,Hofsjoekull E,train,557.5078,9735.328,30,324.51096,42583.332,126.62928,336.28345,2716.8933,30,90.56312,12248.347,133.44992,91.78235,2196.089,30,73.20297,10530.001,130.62196,80.61432
2025-12-09 13:41:01.314871,2,Eyjabakkajokull,train,581.64655,9055.345,27,335.38315,27279.324,77.28858,352.95413,1583.1871,19,83.32564,7466.0957,84.920746,87.918396,1692.5569,20,84.627846,7872.443,87.04567,90.44038
2025-12-09 13:41:14.907223,2,Corbassiere,train,481.56445,10241.506,28,365.7681,75590.74,177.60979,425.6001,3113.7175,22,141.53262,0,0,,1151.5408,22,52.342762,0,0,
2025-12-09 13:41:27.606507,2,Rhone,train,554.897,6102.7666,18,339.0426,76604.22,191.19017,400.6703,1811.8065,18,100.65592,672081.1,6514.338,103.169525,1275.7053,18,70.87252,0,0,
2025-12-09 13:41:43.002909,2,Svelgjabreen,train,546.464,3165.3818,10,316.53818,17234.4,52.0,331.4308,709.2048,10,70.92048,3827.1626,51.0,75.042404,885.30255,10,88.53026,4896.7705,53.0,92.3919
2025-12-09 13:41:50.255617,2,Blomstoelskardsbreen,train,536.7023,3102.712,10,310.2712,18236.152,56.0,325.6456,714.0958,10,71.409584,4027.9946,54.0,74.59249,845.7691,10,84.57691,5030.9478,56.0,89.838356
2025-12-09 13:41:54.988772,2,Werenskioldbreen,train,589.0403,1787.8602,5,357.57205,7066.2124,20.0,353.31064,253.81854,3,84.606186,1112.6973,13.0,85.5921,282.32675,3,94.10892,1061.5975,11.0,96.50887
2025-12-09 13:42:09.988549,2,Engabreen,train,555.73816,9844.739,30,328.158,47371.137,141.64978,334.42435,2649.5503,29,91.3638,13992.445,140.70285,99.44678,2106.699,29,72.64479,10131.883,139.46088,72.65036
2025-12-09 13:42:16.509206,2,Groenfjord E,train,528.45966,3114.0195,9,346.00217,31516.52,90.0,350.18356,739.75946,6,123.29324,9433.571,75.0,125.780945,333.93518,6,55.655865,0,0,
2025-12-09 13:42:28.001237,2,Findelen,train,703.42413,7354.176,20,367.7088,105671.96,246.68,428.37668,1744.292,17,102.605415,16003.283,164.76926,97.12542,1407.2794,17,82.78114,10505.438,85.679985,122.61252
2025-12-09 13:42:33.304801,2,Hintereis F,train,582.6768,10559.905,30,351.99686,162834.19,421.4358,386.37958,1189.2386,12,99.103226,24300.092,249.73973,97.30167,941.8409,12,78.48674,43.81282,0.9516897,46.036877
2025-12-09 13:42:35.266656,2,Austre Okstindbreen,train,46.87927,618.5856,2,309.2928,0,0,,213.80057,2,106.90028,0,0,,105.199234,2,52.599617,0,0,
2025-12-09 13:42:50.135799,2,Allalin,train,659.74005,11453.784,30,381.79282,78879.09,190.9511,413.0853,3903.8647,27,144.58759,376.13205,4.03447,93.22961,1562.5239,27,57.871258,379.99994,4.0,94.999985
2025-12-09 13:42:56.657987,2,Austre Broeggerbreen,train,54.64262,4246.2236,12,353.852,0,0,,1342.2839,9,149.14265,0,0,,390.88406,9,43.431564,0,0,
